t,c_x,c_y
48722,11209.4072265625,14612.9345703125
48723,11209.4072265625,14605.990234375
48724,11209.4072265625,14599.0458984375
48725,11209.4072265625,14592.1015625
48726,11209.4072265625,14585.1572265625
48727,11209.4072265625,14578.212890625
48728,11209.4072265625,14571.2685546875
48729,11209.4072265625,14564.32421875
48730,11209.4072265625,14557.3798828125
48731,11209.4072265625,14550.435546875
48732,11209.4072265625,14543.4912109375
48733,11209.4072265625,14536.546875
48734,11209.4072265625,14529.6025390625
48735,11209.4072265625,14522.658203125
48736,11209.4072265625,14515.7138671875
48737,11209.4072265625,14508.76953125
48738,11209.4072265625,14501.8251953125
48739,11209.4072265625,14494.880859375
48740,11209.4072265625,14487.9365234375
48741,11209.4072265625,14480.9921875
48742,11209.4072265625,14474.0478515625
48743,11209.4072265625,14467.103515625
48744,11209.4072265625,14460.1591796875
48745,11209.4072265625,14453.21484375
48746,11209.4072265625,14446.2705078125
48747,11209.4072265625,14439.326171875
48748,11209.4072265625,14432.3818359375
48749,11209.4072265625,14425.4375
48750,11209.4072265625,14418.4931640625
48751,11209.4072265625,14411.548828125
48752,11209.4072265625,14404.6044921875
48753,11209.4072265625,14397.66015625
48754,11209.4072265625,14390.7158203125
48755,11209.4072265625,14383.771484375
48756,11209.4072265625,14376.8271484375
48757,11209.4072265625,14369.8828125
48758,11209.4072265625,14362.9384765625
48759,11209.4072265625,14355.994140625
48760,11209.4072265625,14349.0498046875
48761,11209.4072265625,14342.10546875
48762,11209.4072265625,14335.1611328125
48763,11209.4072265625,14328.216796875
48764,11209.4072265625,14321.2724609375
48765,11209.4072265625,14314.328125
48766,11209.4072265625,14307.3837890625
48767,11209.4072265625,14300.439453125
48768,11209.4072265625,14293.4951171875
48769,11209.4072265625,14286.55078125
48770,11209.4072265625,14279.6064453125
48771,11209.4072265625,14272.662109375
48772,11209.4072265625,14265.7177734375
48773,11209.4072265625,14258.7734375
48774,11209.4072265625,14251.8291015625
48775,11209.4072265625,14244.884765625
